### 2023 40
Districts|AD (NonCholera)|Malaria|ILI|SARI|ALRI <5 Years|B. Diarrhea|Typhoid|CL|AVH (A & E)|Dog Bite
Shangla|1479|1870|0|15|20|21|23|37|94|5
SWA|134|134|165|19|6|69|24|6|4|0
Swabi|1789|104|474|26|56|105|56|178|28|56
Swat|2523|80|214|257|87|21|41|76|17|23
Tank|312|189|78|2|9|0|41|0|9|0
Tor Ghar|123|150|0|42|0|19|10|2|0|2
Upper Kurram|174|37|266|36|26|245|26|17|3|0
Total|27030|7981|3717|1545|1179|1012|741|583|449|344

Note: Kohat is not present as a row in this week's Table 4.

### 2024 37
Districts|AD (NonCholera)|Malaria|ILI|B.Diarrhea|SARI|ALRI <5 Years|Typhoid|Dog Bite|TB|AVH (A&E)
Abbottabad|623|22|35|15|0|6|37|5|11|1
Bajaur|1384|307|44|406|66|119|4|33|26|53
Bannu|663|1411|5|26|2|50|100|2|28|22
Battagram|183|171|459|0|0|0|0|0|0|0
Buner|327|300|0|0|0|1|7|6|1|0
Charsadda|835|280|547|65|0|25|48|6|3|21
Chitral Lower|485|30|59|18|50|34|9|14|5|1
Chitral Upper|200|4|9|13|13|5|12|2|2|0
D.I. Khan|1277|682|0|7|0|24|0|14|47|0
Dir Lower|1658|292|3|111|0|112|43|64|6|15
Dir Upper|1038|19|69|22|0|0|17|0|14|3
Hangu|82|202|0|12|0|2|0|0|8|0
Haripur|1102|31|226|57|1|11|29|2|13|47
Karak|372|302|122|10|221|26|13|3|7|0
Khyber|316|344|37|50|34|107|43|22|9|4
Kohistan Lower|111|19|2|1|3|8|1|0|0|0
Kohistan Upper|418|11|0|6|0|29|19|0|0|0
Kolai Palas|84|8|12|3|13|6|5|0|1|0
L & C Kurram|45|40|89|0|1|17|5|1|0|0
Lakki Marwat|755|395|0|8|0|16|5|21|4|0
Malakand|731|13|0|20|0|76|20|0|0|40
Mansehra|628|4|246|23|120|2|22|0|8|0
Mardan|697|78|200|137|0|9|5|39|7|1
Mohmand|182|312|126|2|156|57|13|23|3|9
North Waziristan|16|15|0|0|0|3|4|18|0|2
Nowshera|1743|216|53|7|8|22|9|6|8|19
Orakzai|4|3|9|0|0|0|0|0|0|0
Peshawar|3557|104|876|39|56|129|58|3|25|24
SD Peshawar|3|0|0|0|0|0|0|0|0|0
SD Tank|27|64|2|0|0|5|1|1|1|0
Shangla|1462|1445|0|17|0|25|30|54|125|5
SWA|84|106|181|40|48|15|30|4|1|0
Swabi|1538|114|526|41|93|14|46|183|37|71
Swat|2127|75|182|74|33|23|42|57|10|63
Tank|366|274|34|0|0|4|24|0|12|0
Tor Ghar|107|113|0|0|12|25|6|4|0|1
Upper Kurram|174|33|323|29|260|47|31|9|2|0
Total|25404|7839|4476|1259|1190|1054|738|596|424|402

Note: Kohat is not present as a row in this week's Table 4.

### 2024 38
Districts|AD (NonCholera)|Malaria|ILI|B.Diarrhea|SARI|ALRI <5 Years|Typhoid|Dog Bite|TB|AVH (A&E)
Abbottabad|697|26|53|10|0|20|59|2|17|1
Bajaur|860|334|39|103|52|336|7|51|11|54
Bannu|875|1871|6|39|0|37|100|4|37|16
Battagram|177|132|450|0|115|0|0|6|0|0
Buner|341|283|0|0|0|3|5|18|1|0
Charsadda|908|389|607|35|0|49|55|2|1|25
Chitral Lower|375|20|132|19|26|9|11|18|2|0
Chitral Upper|163|2|11|9|7|1|15|0|2|3
D.I. Khan|1211|725|0|19|0|5|0|27|48|0
Dir Lower|1504|267|2|133|0|108|41|27|17|5
Dir Upper|864|19|79|2|0|19|5|0|19|0
Hangu|98|178|0|28|0|11|0|0|2|0
Haripur|950|55|196|18|5|58|22|3|27|40
Karak|353|364|90|16|145|10|21|9|5|0
Khyber|472|342|5|130|54|40|47|18|9|12
Kohat|118|11|0|11|0|0|10|0|0|0
Kohistan Lower|124|17|0|9|4|0|1|1|2|0
Kohistan Upper|460|7|25|17|0|3|3|0|15|0
Kolai Palas|73|1|10|1|3|1|1|0|2|1
L & C Kurram|44|37|77|8|1|0|2|0|0|0
Lakki Marwat|769|431|1|22|0|9|17|38|3|0
Malakand|838|43|0|196|4|22|28|0|2|20
Mansehra|521|5|252|0|4|21|44|0|3|0
Mardan|301|55|0|6|0|34|0|0|5|0
Mohmand|129|425|144|62|161|1|11|15|4|2
North Waziristan|11|26|1|19|18|1|5|0|0|3
Nowshera|1617|320|46|37|14|2|7|14|10|25
Orakzai|18|43|23|4|0|0|0|1|0|0
Peshawar|3293|79|908|112|83|37|52|7|16|34
SD Peshawar|3|0|0|0|0|0|0|0|0|0
SD Tank|19|37|3|4|0|0|1|0|0|0
Shangla|1416|959|0|14|0|18|34|33|105|3
SWA|91|112|176|9|82|26|26|5|4|4
Swabi|1573|110|555|17|87|78|34|194|63|52
Swat|1713|76|217|32|28|92|48|67|20|84
Tank|343|336|62|4|0|23|49|1|14|0
Tor Ghar|121|154|0|37|0|0|11|2|0|0
Upper Kurram|134|28|302|34|257|22|28|12|2|0
Total|23577|8319|4472|1216|1150|1096|800|575|468|384

### 2024 39
Districts|AD (NonCholera)|Malaria|ILI|B.Diarrhea|SARI|ALRI <5 Years|Typhoid|Dog Bite|TB|AVH (A&E)
Abbottabad|644|2|48|25|8|0|49|3|11|0
Bajaur|1461|411|46|419|130|47|6|50|13|6
Bannu|846|1834|7|27|28|11|98|8|33|12
Battagram|236|134|554|0|0|0|0|0|0|0
Buner|262|376|0|12|0|0|6|19|1|0
Charsadda|848|405|501|65|27|0|60|0|3|0
Chitral Lower|299|24|73|14|44|33|9|5|5|0
Chitral Upper|177|5|9|7|3|2|14|2|0|0
D.I. Khan|1112|878|0|5|24|0|0|23|42|1
Dir Lower|1528|346|4|110|119|0|42|36|12|3
Dir Upper|871|12|81|15|6|0|8|0|11|0
Hangu|101|114|0|0|11|0|0|0|3|61
Haripur|953|61|131|65|13|3|17|1|70|28
Karak|393|351|61|12|25|66|14|9|7|0
Khyber|450|399|43|10|124|35|51|29|11|2
Kohat|81|17|2|0|6|0|2|0|0|0
Kohistan Lower|101|8|7|0|12|7|0|0|0|28
Kohistan Upper|309|13|0|5|16|0|3|1|17|0
Kolai Palas|108|4|16|3|5|4|3|0|2|0
L & C Kurram|40|15|81|0|12|2|2|1|2|0
Lakki Marwat|731|444|1|12|20|0|17|38|4|3
Malakand|892|60|0|41|29|14|24|0|4|1
Mansehra|584|6|302|22|7|47|22|0|5|58
Mardan|768|60|0|113|11|0|0|19|7|16
Mohmand|134|496|149|3|58|181|8|16|4|0
North Waziristan|37|32|0|44|7|22|13|0|0|0
Nowshera|1565|336|11|5|42|6|18|10|8|28
Orakzai|24|12|10|0|7|0|0|0|0|0
Peshawar|3210|95|928|58|149|75|81|2|11|72
SD Peshawar|10|0|0|0|0|0|0|0|0|0
SD Tank|22|46|2|0|5|0|1|0|0|0
Shangla|1158|1007|2|18|15|0|39|24|11|21
SWA|83|55|68|5|6|23|11|0|0|0
Swabi|1347|82|708|95|16|81|52|55|39|11
Swat|1699|86|226|61|12|0|47|79|7|0
Tank|420|494|102|29|10|0|78|0|12|0
Tor Ghar|73|115|6|0|35|14|1|0|1|0
Upper Kurram|111|26|248|18|27|201|16|17|3|0
Total|23688|8861|4427|1318|1069|874|812|447|359|351

### 2024 40
Districts|AD (NonCholera)|Malaria|ILI|B.Diarrhea|SARI|ALRI <5 Years|Typhoid|Dog Bite|TB|AVH (A&E)
Abbottabad|542|24|62|0|11|7|40|0|5|11
Bajaur|1074|322|74|42|312|117|5|27|38|17
Bannu|774|1510|18|18|21|33|104|5|2|28
Buner|247|345|0|0|0|0|10|0|11|3
Charsadda|727|322|413|0|48|22|48|4|4|0
Chitral Lower|320|25|61|30|13|30|10|2|12|9
Chitral Upper|146|0|12|13|15|8|11|0|2|2
D.I. Khan|1132|879|0|0|7|14|0|10|23|47
Dir Lower|1263|309|7|0|123|116|56|2|16|11
Dir Upper|777|10|115|0|12|2|8|2|0|18
Hangu|126|72|0|0|28|13|0|69|0|0
Haripur|669|34|280|5|21|10|14|20|4|16
Karak|340|306|93|204|19|26|13|5|13|13
Khyber|296|259|34|32|27|83|36|22|20|8
Kohistan Lower|95|7|2|2|3|15|0|54|0|0
Kohistan Upper|345|7|0|0|62|10|2|0|1|16
Kolai Palas|71|5|17|0|3|2|1|3|0|0
L & C Kurram|47|8|60|2|1|18|1|0|0|1
Lakki Marwat|722|516|0|0|17|31|13|6|25|6
Malakand|953|41|47|9|38|83|30|1|0|3
Mansehra|454|3|282|102|0|1|4|43|0|0
Mardan|618|83|0|0|68|9|0|34|5|6
Mohmand|128|411|156|177|0|18|6|1|13|3
North Waziristan|0|27|0|6|3|3|1|3|0|0
Nowshera|1425|333|2|9|6|32|9|27|8|10
Orakzai|28|27|10|0|2|4|2|1|15|1
Peshawar|2970|73|834|82|67|93|89|74|5|12
SD Peshawar|5|0|0|0|0|0|0|0|0|0
SD Tank|31|50|6|0|1|5|2|0|1|1
Shangla|912|724|0|16|10|25|37|41|35|87
SWA|78|77|43|16|9|8|8|0|3|0
Swabi|1360|137|673|150|121|8|43|12|122|56
Swat|1253|90|142|0|75|13|1|0|47|16
Tank|380|496|198|0|32|1|76|0|0|5
Tor Ghar|54|68|5|17|0|25|4|1|1|0
Upper Kurram|167|28|263|316|16|23|17|0|19|3
Total|20529|7628|3909|1248|1191|908|701|469|450|409

Note: Battagram and Kohat are not present as rows in this week's Table 4.

### 2024 41
Districts|AD (NonCholera)|Malaria|ILI|B.Diarrhea|SARI|ALRI <5 Years|Typhoid|Dog Bite|TB|AVH (A&E)
Abbottabad|486|1|63|1|20|3|34|3|10|0
Bajaur|1246|354|46|50|431|121|5|49|10|50
Bannu|865|1827|3|62|29|39|115|3|30|23
Buner|229|302|0|0|0|0|7|13|1|0
Charsadda|740|381|567|0|62|32|58|0|2|14
Chitral Lower|255|22|87|16|10|21|11|8|5|1
Chitral Upper|121|4|10|7|2|1|10|0|1|3
D.I. Khan|1146|908|0|0|7|20|3|19|44|0
Dir Lower|1246|380|5|1|101|119|49|30|18|6
Dir Upper|812|8|82|0|12|1|2|0|19|2
Hangu|67|103|0|0|0|12|0|0|0|0
Haripur|700|52|285|4|50|9|17|4|23|37
Karak|430|339|63|334|18|12|6|10|7|0
Khyber|316|328|61|35|38|114|30|15|15|8
Kohat|388|302|75|41|11|21|14|7|2|0
Kohistan Lower|99|7|0|15|0|11|0|0|0|0
Kohistan Upper|337|33|0|0|8|13|1|0|15|0
Kolai Palas|68|5|12|7|4|4|1|0|0|0
L & C Kurram|24|12|81|1|0|11|2|0|0|0
Lakki Marwat|708|706|0|0|16|21|2|35|8|0
Malakand|965|32|50|6|26|54|26|0|3|12
Mansehra|434|8|235|34|7|6|5|0|3|0
Mardan|557|47|0|0|25|11|3|6|8|0
Mohmand|132|417|174|188|10|53|12|11|3|2
North Waziristan|16|15|0|12|7|4|3|11|0|3
Nowshera|1247|318|34|10|4|29|13|6|8|21
Orakzai|10|16|18|0|0|3|1|0|0|0
Peshawar|2736|94|900|113|77|134|105|9|16|27
SD Peshawar|2|2|0|0|0|0|0|0|0|0
SD Tank|19|52|3|0|0|0|0|0|0|0
Shangla|930|886|0|24|27|14|39|45|81|4
SWA|79|96|182|106|18|9|25|11|5|0
Swabi|1282|107|777|108|115|9|45|122|57|30
Swat|1156|118|99|25|89|12|3|46|20|74
Tank|351|532|231|0|12|11|68|23|18|0
Tor Ghar|63|101|7|16|4|11|2|2|2|1
Upper Kurram|165|24|294|121|19|36|30|20|5|0
Total|20427|8939|4444|1337|1259|981|747|508|439|318

Note: Battagram is not present as a row in this week's Table 4.

### 2024 42
Districts|AD (NonCholera)|Malaria|ILI|B.Diarrhea|SARI|ALRI <5 Years|Typhoid|Dog Bite|TB|AVH (A&E)
Abbottabad|449|2|85|0|27|6|57|3|4|7
Bajaur|1215|377|78|67|419|123|8|13|48|17
Bannu|729|1775|3|38|23|44|113|1|1|27
Battagram|19|NR|63|NR|NR|NR|NR|NR|NR|NR
Buner|182|287|0|0|8|1|7|0|11|28
Charsadda|753|362|625|0|70|31|25|1|2|1
Chitral Lower|249|22|79|29|10|27|10|3|14|8
Chitral Upper|135|2|13|7|5|4|10|0|4|0
D.I. Khan|1247|707|0|0|9|11|0|0|13|56
Dir Lower|1267|273|6|0|93|139|45|0|20|13
Dir Upper|894|21|99|0|34|0|2|0|0|17
Hangu|79|138|0|0|25|5|0|0|0|2
Haripur|755|40|192|6|8|8|9|4|2|15
Karak|273|272|134|446|17|25|10|1|5|5
Khyber|343|347|42|29|30|106|36|4|24|11
Kohat|432|255|99|48|13|33|14|0|1|6
Kohistan Lower|120|6|0|0|1|12|0|0|0|0
Kohistan Upper|368|73|0|0|5|19|0|0|5|0
Kolai Palas|68|4|12|3|0|1|0|0|0|1
L & C Kurram|20|29|86|1|0|21|5|0|0|0
Lakki Marwat|687|566|0|1|4|26|11|0|59|6
Malakand|750|34|6|9|47|53|19|0|0|2
Mansehra|407|4|317|65|14|4|4|1|0|0
Mardan|501|26|0|0|82|9|0|1|5|6
Mohmand|121|282|155|179|7|41|6|1|14|1
North Waziristan|30|6|0|39|7|13|7|0|0|0
Nowshera|1353|370|48|49|11|31|23|6|11|9
Orakzai|74|22|24|0|0|2|0|0|0|0
Peshawar|2851|76|957|106|102|125|102|14|4|20
SD Peshawar|5|0|0|0|0|0|0|0|0|0
SD Tank|18|53|2|0|0|2|1|0|0|0
Shangla|926|419|1|14|26|10|43|16|53|110
SWA|85|85|208|92|21|13|17|0|6|2
Swabi|1240|107|863|61|138|9|42|4|121|97
Swat|1336|140|73|7|101|147|40|4|87|14
Tank|462|655|231|0|3|3|49|560|1|13
Tor Ghar|39|107|1|7|3|22|0|0|8|1
Upper Kurram|148|24|241|155|17|46|11|0|18|6
Total|20630|7968|4743|1458|1380|1172|726|637|541|501

### 2024 43
Districts|AD (NonCholera)|Malaria|ILI|B.Diarrhea|SARI|ALRI <5 Years|Typhoid|Dog Bite|TB|AVH (A&E)
Abbottabad|437|3|97|24|1|9|41|6|23|1
Bajaur|1112|313|75|366|68|80|4|35|15|60
Bannu|666|1606|3|35|53|32|131|2|23|13
Battagram|28|NR|102|NR|NR|NR|NR|NR|NR|NR
Buner|226|282|0|13|0|0|8|11|5|0
Charsadda|948|407|673|66|0|28|66|5|14|11
Chitral Lower|245|17|70|14|28|20|7|14|6|1
Chitral Upper|130|1|18|11|9|9|5|0|2|1
D.I. Khan|1012|708|0|11|0|16|0|12|57|0
Dir Lower|1273|350|2|56|0|160|49|23|13|5
Dir Upper|766|15|89|27|0|6|1|0|15|3
Hangu|85|68|0|40|0|7|0|0|2|0
Haripur|654|55|387|30|6|11|15|1|28|32
Karak|250|270|91|17|179|9|4|8|4|0
Khyber|409|286|29|31|31|115|43|27|10|15
Kohat|401|264|126|13|21|11|12|0|0|1
Kohistan Lower|121|4|2|4|11|11|8|0|0|0
Kohistan Upper|422|28|15|65|20|19|0|0|0|0
Kolai Palas|82|9|2|1|8|5|2|0|0|0
L & C Kurram|27|37|72|0|0|22|5|1|0|0
Lakki Marwat|623|536|0|18|0|23|9|33|5|0
Malakand|720|25|46|43|17|33|26|0|3|12
Mansehra|378|12|276|10|68|13|9|5|3|1
Mardan|413|56|0|93|0|5|0|9|5|2
Mohmand|134|319|174|7|153|31|8|16|7|0
North Waziristan|59|38|16|54|39|42|7|0|0|3
Nowshera|1266|322|55|5|68|25|13|8|12|28
Orakzai|153|35|23|0|0|0|15|2|1|0
Peshawar|2745|95|1027|85|112|126|94|1|21|4
SD Peshawar|7|1|0|0|0|0|0|0|0|0
SD Tank|27|20|3|0|0|9|0|0|0|0
Shangla|909|641|0|40|0|8|54|69|94|5
SWA|62|74|196|16|118|8|15|4|4|0
Swabi|1002|72|868|358|52|10|32|70|41|33
Swat|1497|107|193|128|0|139|50|78|9|54
Tank|340|677|205|5|0|10|50|3|15|0
Tor Ghar|29|75|0|1|14|15|1|6|0|0
Upper Kurram|208|38|214|27|192|37|9|8|5|0
Total|19866|7866|5149|1714|1268|1104|793|457|442|285

### 2024 44
Districts|AD (NonCholera)|Malaria|ILI|B.Diarrhea|SARI|ALRI <5 Years|Typhoid|Dog Bite|TB|AVH (A&E)
Abbottabad|360|3|75|0|32|3|38|3|20|0
Bajaur|704|220|52|86|66|91|6|31|12|53
Bannu|579|1312|11|10|28|31|81|4|14|9
Battagram|79|57|361|NR|NR|NR|0|16|NR|NR
Buner|97|194|25|0|2|0|2|8|5|0
Charsadda|862|309|566|0|93|29|68|1|3|12
Chitral Lower|216|21|94|27|21|12|10|14|17|3
Chitral Upper|133|1|9|11|7|2|14|1|0|2
D.I. Khan|902|611|0|0|13|18|0|19|32|0
Dir Lower|1205|294|1|0|36|68|46|21|9|28
Dir Upper|738|22|92|0|7|9|5|4|17|6
Hangu|49|48|0|0|0|5|0|0|0|0
Haripur|612|32|306|28|79|6|7|0|12|28
Karak|272|288|82|144|14|13|7|15|4|3
Khyber|238|95|0|28|33|67|27|0|0|1
Kohat|311|166|121|37|3|7|0|6|0|0
Kohistan Lower|94|5|0|0|0|8|0|0|0|0
Kohistan Upper|316|22|25|0|6|5|1|0|0|0
Kolai Palas|56|3|10|9|3|3|2|0|0|0
L & C Kurram|26|39|53|0|0|17|3|0|0|0
Lakki Marwat|690|470|2|0|12|33|8|44|6|0
Malakand|558|28|40|15|49|66|26|0|3|36
Mansehra|239|0|165|44|10|1|9|0|1|0
Mardan|379|20|0|0|44|4|0|10|5|0
Mohmand|120|290|173|158|0|40|3|18|1|0
North Waziristan|51|7|0|7|0|10|4|0|1|0
Nowshera|1202|196|58|15|3|32|7|15|11|7
Orakzai|130|22|18|0|0|3|1|1|1|0
Peshawar|2312|66|970|116|67|118|60|8|23|34
SD Peshawar|4|1|0|0|0|0|0|0|0|0
SD Tank|25|43|3|0|0|4|1|0|0|0
Shangla|836|619|0|15|37|4|50|56|95|1
SWA|64|39|219|66|21|15|14|8|3|0
Swabi|912|99|870|67|144|6|51|111|29|28
Swat|1055|68|152|0|98|23|7|61|10|39
Tank|327|604|205|0|11|3|39|0|16|0
Tor Ghar|31|56|4|4|4|10|0|9|1|6
Upper Kurram|180|28|287|146|22|36|13|8|0|0
Total|16964|6398|5049|1033|965|802|610|492|351|296

### 2024 46
Districts|AD (NonCholera)|Malaria|ILI|B.Diarrhea|SARI|ALRI <5 Years|Typhoid|Dog Bite|TB|AVH (A&E)
Abbottabad|314|15|166|30|43|8|48|4|13|0
Bajaur|874|270|76|76|94|74|2|29|9|85
Bannu|713|1848|47|0|24|29|95|3|25|2
Battagram|63|36|455|NR|NR|1|0|25|NR|NR
Buner|162|173|0|0|0|0|2|5|2|0
Charsadda|941|392|681|7|106|46|84|2|4|31
Chitral Lower|226|8|95|20|17|10|3|11|7|1
Chitral Upper|68|3|0|6|26|0|8|1|2|1
D.I. Khan|1025|709|0|0|9|18|0|14|42|0
Dir Lower|940|327|1|0|93|77|52|43|11|22
Dir Upper|384|4|46|0|4|0|2|3|2|3
Hangu|64|90|0|0|0|4|0|0|1|0
Haripur|546|38|155|14|44|4|6|2|25|21
Karak|293|259|121|414|18|11|2|7|7|2
Khyber|388|240|64|52|28|101|53|18|7|3
Kohat|409|239|119|167|8|16|16|2|3|0
Kohistan Lower|56|4|0|0|0|8|0|1|0|0
Kohistan Upper|324|28|9|0|17|20|5|0|16|0
Kolai Palas|63|2|7|9|5|1|3|0|0|0
L & C Kurram|12|24|59|0|0|18|3|1|0|0
Lakki Marwat|576|491|13|0|29|21|2|43|14|0
Malakand|537|25|61|21|36|47|39|0|0|16
Mansehra|336|2|282|102|65|3|27|0|0|0
Mardan|520|37|0|0|87|6|3|29|7|0
Mohmand|119|299|174|179|8|32|5|12|2|5
North Waziristan|45|22|0|30|3|17|8|0|0|0
Nowshera|1125|168|41|26|3|26|19|13|9|20
Orakzai|71|15|20|0|0|6|13|18|0|0
Peshawar|2228|102|1172|134|93|75|39|21|16|4
SD Tank|9|16|3|0|0|0|0|0|0|0
Shangla|438|208|0|22|13|2|34|23|36|1
SWA|63|41|178|35|28|17|7|4|14|0
Swabi|838|63|825|53|117|2|36|119|6|24
Swat|1314|29|106|0|72|28|9|30|7|16
Tank|424|518|180|27|11|3|25|8|27|0
Tor Ghar|40|55|0|6|1|15|3|9|0|4
Upper Kurram|144|22|280|205|37|21|8|7|2|0
Total|16692|6822|5436|1635|1139|767|661|507|316|261

### 2024 47
Districts|AD (NonCholera)|Malaria|ILI|B.Diarrhea|SARI|ALRI <5 Years|Typhoid|Dog Bite|TB|AVH (A&E)
Abbottabad|780|60|278|111|123|420|6|2|190|1
Bajaur|939|212|96|94|20|0|63|63|16|57
Bannu|619|1837|9|17|17|89|28|4|20|13
Battagram|94|30|513|NR|NR|0|NR|13|42|NR
Buner|207|265|40|0|2|2|0|13|3|0
Charsadda|1022|380|475|5|87|106|59|2|4|21
Chitral Lower|218|11|112|35|16|4|11|10|4|1
Chitral Upper|68|0|2|3|28|10|5|6|2|1
D.I. Khan|1152|671|0|0|4|2|17|19|38|2
Dir Lower|966|380|2|0|105|47|89|77|13|26
Dir Upper|709|7|104|0|18|1|1|0|15|0
Hangu|63|30|0|0|0|0|0|0|2|0
Haripur|480|13|402|14|91|6|8|2|22|26
Karak|291|204|44|482|17|6|20|18|4|3
Khyber|352|142|0|39|19|57|84|0|0|0
Kohat|425|191|180|80|11|5|11|12|0|0
Kohistan Lower|131|4|6|9|4|0|6|0|2|11
Kohistan Upper|383|42|31|0|6|12|20|0|18|0
Kolai Palas|63|3|15|7|7|4|6|0|1|0
L & C Kurram|2|0|0|0|0|0|0|0|0|0
Lakki Marwat|588|410|0|0|32|2|24|50|8|0
Malakand|624|42|0|9|19|30|67|0|0|40
Mansehra|396|4|559|58|29|14|4|65|6|4
Mardan|556|25|0|0|47|2|5|69|6|0
Mohmand|140|314|175|168|5|8|33|9|0|0
North Waziristan|39|26|0|32|0|7|12|0|1|0
Nowshera|998|141|18|2|3|14|16|0|14|19
Orakzai|99|4|14|0|0|5|12|1|0|0
Peshawar|2183|70|1442|196|215|37|66|12|13|8
SD Tank|10|11|3|0|0|0|0|0|0|0
Shangla|622|416|8|29|12|27|4|65|92|3
SWA|51|60|188|25|11|11|11|8|6|0
Swabi|913|37|777|56|80|11|1|117|50|9
Swat|1215|40|118|0|111|14|9|28|3|74
Tank|481|459|142|0|18|24|4|4|24|0
Tor Ghar|37|60|0|18|2|6|19|5|1|4
Upper Kurram|24|0|13|0|0|0|4|0|0|0
Total|17940|6601|5766|1489|1159|983|725|674|620|323

### 2024 48
Districts|AD (NonCholera)|Malaria|ILI|B.Diarrhea|SARI|ALRI <5 Years|Typhoid|Dog Bite|TB|AVH (A&E)
Abbottabad|773|69|317|181|163|6|79|112|179|2
Bajaur|822|192|86|106|44|53|2|46|11|51
Bannu|684|1729|29|3|18|42|90|3|10|2
Battagram|123|39|563|NR|NR|1|0|17|32|NR
Buner|187|169|25|0|0|0|6|13|1|0
Charsadda|820|391|445|19|234|45|75|4|12|8
Chitral Lower|340|15|209|31|19|23|7|10|2|1
Chitral Upper|101|5|15|8|18|5|9|1|1|0
D.I. Khan|1111|610|0|0|13|13|0|17|46|0
Dir Lower|941|285|2|0|104|98|52|41|16|27
Dir Upper|449|5|80|0|12|1|4|5|12|175
Hangu|37|1|0|0|5|0|0|0|10|0
Haripur|517|11|285|20|51|3|3|1|11|20
Karak|297|188|81|266|12|0|3|15|9|1
Khyber|374|185|90|38|26|105|56|23|8|3
Kohat|335|160|115|74|3|28|11|4|2|0
Kohistan Lower|60|1|0|0|0|3|2|1|0|0
Kohistan Upper|307|16|3|2|23|10|3|1|0|0
Kolai Palas|63|0|3|8|7|2|2|0|0|0
L & C Kurram|5|12|2|0|0|4|0|2|0|0
Lakki Marwat|621|506|0|0|38|21|4|23|9|0
Malakand|501|26|75|31|41|45|28|0|3|18
Mansehra|308|0|357|101|14|0|1|0|0|0
Mardan|514|33|0|0|101|9|0|13|6|0
Mohmand|110|253|174|128|8|25|5|8|0|1
North Waziristan|6|29|0|0|1|0|2|0|1|0
Nowshera|918|91|40|6|1|10|5|7|8|16
Orakzai|4|5|12|0|0|7|0|9|0|0
Peshawar|2174|63|1353|261|88|69|40|4|11|13
SD Tank|5|7|2|0|0|1|0|0|0|0
Shangla|439|248|0|21|16|4|29|13|44|0
SWA|41|33|203|37|4|5|16|4|5|0
Swabi|709|57|782|48|177|5|39|110|58|24
Swat|1099|31|98|59|134|20|4|28|9|85
Tank|364|518|173|0|16|3|35|0|15|0
Tor Ghar|46|61|0|37|3|19|4|20|0|4
Upper Kurram|119|8|274|206|17|24|5|13|3|0
Total|16332|6052|5893|1691|1411|709|621|568|534|451

### 2024 49
Districts|AD (NonCholera)|Malaria|ILI|B.Diarrhea|SARI|ALRI <5 Years|Typhoid|Dog Bite|TB|AVH (A&E)
Abbottabad|671|322|95|204|272|477|6|82|230|3
Bajaur|365|9|210|28|63|0|56|48|12|28
Bannu|598|7|1649|14|5|105|27|2|23|0
Battagram|170|771|29|NR|2|0|NR|13|42|NR
Buner|143|30|192|0|0|4|0|11|1|0
Charsadda|1521|1000|448|500|7|96|163|33|17|45
Chitral Lower|355|177|9|16|27|6|19|10|5|0
Chitral Upper|97|16|1|2|12|4|4|0|1|1
D.I. Khan|1172|0|615|12|0|0|14|18|47|0
Dir Lower|913|2|198|92|0|47|86|99|11|25
Dir Upper|613|137|9|24|2|2|4|8|10|3
Hangu|69|93|78|0|0|3|0|0|2|0
Haripur|413|160|2|58|45|9|1|0|25|15
Karak|301|106|153|21|192|3|17|11|6|2
Khyber|379|116|146|34|24|23|97|18|7|2
Kohat|410|128|145|7|108|7|25|15|0|0
Kohistan Lower|94|13|4|8|0|0|2|0|0|0
Kohistan Upper|387|12|16|26|0|0|14|0|0|0
Kolai Palas|87|10|3|5|8|4|7|0|1|0
L & C Kurram|2|6|0|0|0|0|6|0|0|0
Lakki Marwat|553|10|449|34|0|4|20|18|7|0
Malakand|382|0|27|38|14|3|41|0|3|7
Mansehra|362|349|5|8|231|0|1|0|2|0
Mardan|621|0|10|74|0|16|8|66|7|0
Mohmand|103|179|274|10|140|6|29|11|1|3
North Waziristan|25|15|22|2|17|6|0|1|1|0
Nowshera|783|67|99|6|12|30|16|6|13|15
Orakzai|16|15|2|0|0|0|8|3|0|0
Peshawar|2389|1386|42|106|227|47|63|1|11|2
SD Tank|9|3|8|0|0|0|1|0|0|0
Shangla|567|1|326|36|26|39|5|46|50|3
SWA|41|181|40|10|42|11|2|7|6|0
South Waziristan (Lower)|11|28|0|0|0|2|1|0|0|0
Swabi|678|1009|54|185|62|29|4|90|31|29
Swat|1261|211|20|154|0|44|79|56|7|71
Tank|407|182|301|19|0|28|4|0|13|0
Tor Ghar|43|0|45|4|37|6|16|10|2|3
Upper Kurram|107|256|8|19|155|5|24|9|1|0
Total|17118|7007|5734|1756|1730|1066|870|692|595|257

### 2024 50
Districts|AD (NonCholera)|Malaria|ILI|B.Diarrhea|SARI|ALRI <5 Years|Typhoid|Dog Bite|TB|AVH (A&E)
Abbottabad|475|288|0|166|135|353|11|66|178|1
Bajaur|357|8|171|29|70|5|81|39|13|16
Bannu|462|6|1220|19|22|89|21|6|32|25
Battagram|169|607|29|NR|NR|0|4|4|45|NR
Buner|150|20|170|0|0|5|0|0|0|1
Charsadda|1343|1265|470|804|78|65|145|7|24|15
Chitral Lower|325|193|7|15|20|3|11|3|3|0
Chitral Upper|90|14|0|28|12|8|2|0|1|0
D.I. Khan|1200|0|607|19|0|4|20|11|44|26
Dir Lower|941|3|272|104|0|42|102|58|15|15
Dir Upper|603|121|6|28|4|7|0|16|20|3
Hangu|123|288|126|0|30|3|2|4|2|0
